year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2603.00,533.00,78.81,25.38,339.55,0.00,89.25,113.00,6.00,38931.00,7828.00,5584.00,17780.00,0.00,7739.00
2022,12,AA,American Airlines Network,LGA,"New York, NY: LaGuardia",1745.00,531.00,142.69,17.67,175.36,1.00,194.28,43.00,4.00,37782.00,9707.00,1205.00,7963.00,21.00,18886.00
2022,12,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",1308.00,423.00,128.98,4.55,142.06,0.00,147.41,32.00,4.00,28579.00,8004.00,383.00,7722.00,0.00,12470.00
2022,12,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2043.00,486.00,147.59,9.39,195.33,0.00,133.70,60.00,4.00,31885.00,11503.00,1236.00,8977.00,0.00,10169.00
2022,12,F9,Frontier Airlines,LGA,"New York, NY: LaGuardia",90.00,30.00,15.68,0.24,8.89,0.00,5.19,8.00,0.00,2197.00,1021.00,29.00,664.00,0.00,483.00
2022,12,G7,GoJet Airlines LLC d/b/a United Express,LGA,"New York, NY: LaGuardia",14.00,4.00,0.48,0.00,2.53,0.00,0.99,1.00,0.00,290.00,11.00,0.00,69.00,0.00,210.00
2022,12,NK,Spirit Airlines,LGA,"New York, NY: LaGuardia",496.00,124.00,42.05,2.53,61.69,1.04,16.70,18.00,4.00,7407.00,2741.00,85.00,3447.00,30.00,1104.00
2022,12,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",92.00,22.00,11.00,6.00,2.00,0.00,3.00,5.00,0.00,1503.00,312.00,414.00,80.00,0.00,697.00
2022,12,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",522.00,137.00,38.20,4.79,39.19,0.00,54.83,10.00,0.00,10821.00,2935.00,498.00,1976.00,0.00,5412.00
2022,12,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",1057.00,268.00,95.64,8.83,76.72,1.29,85.53,170.00,1.00,19376.00,6941.00,920.00,4802.00,49.00,6664.00
2022,12,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",286.00,97.00,29.00,3.00,55.00,0.00,10.00,5.00,3.00,5546.00,2040.00,215.00,2564.00,0.00,727.00
2022,12,YX,Republic Airline,LGA,"New York, NY: LaGuardia",3215.00,633.00,110.97,38.61,391.66,0.90,90.86,115.00,16.00,37759.00,7389.00,4147.00,18064.00,40.00,8119.00
2022,11,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",3204.00,707.00,85.70,31.02,460.62,1.00,128.66,114.00,29.00,55078.00,9476.00,6156.00,27789.00,23.00,11634.00
2022,11,AA,American Airlines Network,LGA,"New York, NY: LaGuardia",1733.00,461.00,110.35,9.78,196.88,1.75,142.24,33.00,8.00,33757.00,9638.00,443.00,11852.00,108.00,11716.00
2022,11,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",1412.00,439.00,106.34,5.91,199.34,0.35,127.06,43.00,13.00,33414.00,9090.00,627.00,11433.00,6.00,12258.00
2022,11,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2084.00,445.00,128.62,8.60,199.89,2.00,105.89,29.00,12.00,30446.00,12788.00,837.00,10107.00,149.00,6565.00
2022,11,F9,Frontier Airlines,LGA,"New York, NY: LaGuardia",90.00,36.00,13.89,0.44,14.05,0.00,7.63,4.00,0.00,3064.00,1351.00,37.00,897.00,0.00,779.00
2022,11,NK,Spirit Airlines,LGA,"New York, NY: LaGuardia",480.00,117.00,30.94,1.00,70.79,1.30,12.97,7.00,1.00,6784.00,1515.00,16.00,4335.00,38.00,880.00
2022,11,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",108.00,24.00,10.00,1.00,9.00,0.00,4.00,1.00,1.00,3015.00,443.00,285.00,745.00,0.00,1542.00
2022,11,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",558.00,126.00,24.72,2.48,72.59,0.00,26.22,8.00,2.00,7593.00,1392.00,202.00,3710.00,0.00,2289.00
