year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,12,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",34.00,7.00,2.44,0.00,2.04,0.00,2.52,1.00,0.00,1426.00,304.00,0.00,910.00,0.00,212.00
2022,12,AA,American Airlines Network,MCI,"Kansas City, MO: Kansas City International",473.00,121.00,39.47,4.30,16.51,1.07,59.66,5.00,0.00,6583.00,2005.00,250.00,679.00,47.00,3602.00
2022,12,AS,Alaska Airlines Network,MCI,"Kansas City, MO: Kansas City International",54.00,24.00,8.88,1.00,6.15,0.00,7.97,4.00,0.00,1280.00,620.00,20.00,203.00,0.00,437.00
2022,12,B6,JetBlue Airways,MCI,"Kansas City, MO: Kansas City International",62.00,20.00,13.50,0.00,0.62,0.00,5.88,1.00,0.00,1997.00,1164.00,0.00,18.00,0.00,815.00
2022,12,DL,Delta Air Lines Network,MCI,"Kansas City, MO: Kansas City International",528.00,109.00,55.99,7.30,20.46,0.00,25.25,20.00,2.00,7984.00,5191.00,446.00,785.00,0.00,1562.00
2022,12,F9,Frontier Airlines,MCI,"Kansas City, MO: Kansas City International",36.00,8.00,5.00,0.29,2.71,0.00,0.00,1.00,0.00,255.00,169.00,14.00,72.00,0.00,0.00
2022,12,G4,Allegiant Air,MCI,"Kansas City, MO: Kansas City International",15.00,1.00,0.60,0.00,0.40,0.00,0.00,0.00,0.00,20.00,12.00,0.00,8.00,0.00,0.00
2022,12,MQ,Envoy Air,MCI,"Kansas City, MO: Kansas City International",67.00,21.00,7.16,1.52,6.39,0.00,5.92,2.00,0.00,1428.00,386.00,140.00,298.00,0.00,604.00
2022,12,NK,Spirit Airlines,MCI,"Kansas City, MO: Kansas City International",130.00,42.00,21.67,0.00,12.50,0.53,7.31,4.00,0.00,2259.00,1174.00,0.00,575.00,29.00,481.00
2022,12,OH,PSA Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",30.00,6.00,1.04,0.00,2.19,0.00,2.77,1.00,0.00,388.00,39.00,0.00,66.00,0.00,283.00
2022,12,OO,SkyWest Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",114.00,33.00,24.00,7.00,0.00,1.00,1.00,6.00,0.00,2431.00,1972.00,320.00,0.00,23.00,116.00
2022,12,UA,United Air Lines Network,MCI,"Kansas City, MO: Kansas City International",313.00,94.00,33.63,1.45,11.29,0.00,47.63,7.00,0.00,9407.00,2892.00,366.00,517.00,0.00,5632.00
2022,12,WN,Southwest Airlines,MCI,"Kansas City, MO: Kansas City International",1656.00,380.00,151.69,5.28,49.24,1.54,172.25,260.00,1.00,24957.00,10146.00,591.00,2000.00,69.00,12151.00
2022,12,YV,Mesa Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",112.00,17.00,10.00,1.00,4.00,0.00,2.00,0.00,1.00,803.00,509.00,78.00,95.00,0.00,121.00
2022,12,YX,Republic Airline,MCI,"Kansas City, MO: Kansas City International",160.00,25.00,8.26,0.00,6.48,0.00,10.26,9.00,1.00,1490.00,616.00,0.00,145.00,0.00,729.00
2022,12,ZW,Air Wisconsin Airlines Corp,MCI,"Kansas City, MO: Kansas City International",5.00,3.00,0.43,0.00,1.00,0.00,1.57,0.00,0.00,231.00,28.00,0.00,17.00,0.00,186.00
2022,11,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",75.00,19.00,8.06,0.00,7.48,0.00,3.46,3.00,0.00,1405.00,783.00,0.00,270.00,0.00,352.00
2022,11,AA,American Airlines Network,MCI,"Kansas City, MO: Kansas City International",499.00,117.00,39.27,2.25,16.34,0.83,58.30,4.00,0.00,8293.00,2951.00,119.00,642.00,25.00,4556.00
2022,11,AS,Alaska Airlines Network,MCI,"Kansas City, MO: Kansas City International",48.00,9.00,1.00,3.00,2.50,0.00,2.50,0.00,0.00,486.00,66.00,267.00,75.00,0.00,78.00
2022,11,B6,JetBlue Airways,MCI,"Kansas City, MO: Kansas City International",59.00,7.00,5.14,0.00,1.18,0.00,0.68,0.00,0.00,461.00,397.00,0.00,25.00,0.00,39.00
2022,11,DL,Delta Air Lines Network,MCI,"Kansas City, MO: Kansas City International",589.00,82.00,44.10,0.77,17.21,0.00,19.91,0.00,1.00,5346.00,3224.00,127.00,528.00,0.00,1467.00
2022,11,F9,Frontier Airlines,MCI,"Kansas City, MO: Kansas City International",34.00,11.00,5.72,0.00,3.31,0.00,1.97,1.00,0.00,708.00,236.00,0.00,150.00,0.00,322.00
2022,11,G4,Allegiant Air,MCI,"Kansas City, MO: Kansas City International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,11,MQ,Envoy Air,MCI,"Kansas City, MO: Kansas City International",55.00,16.00,6.42,1.55,0.83,0.00,7.20,1.00,0.00,1163.00,362.00,99.00,55.00,0.00,647.00
2022,11,NK,Spirit Airlines,MCI,"Kansas City, MO: Kansas City International",150.00,37.00,17.90,0.77,4.66,0.24,13.43,2.00,0.00,2669.00,1154.00,34.00,207.00,21.00,1253.00
2022,11,OH,PSA Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",5.00,2.00,0.13,0.00,0.41,0.00,1.46,0.00,0.00,168.00,15.00,0.00,21.00,0.00,132.00
2022,11,OO,SkyWest Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",73.00,10.00,8.00,2.00,0.00,0.00,0.00,1.00,1.00,576.00,470.00,106.00,0.00,0.00,0.00
2022,11,UA,United Air Lines Network,MCI,"Kansas City, MO: Kansas City International",267.00,55.00,22.58,0.54,9.60,1.00,21.28,2.00,0.00,2971.00,995.00,38.00,405.00,141.00,1392.00
2022,11,WN,Southwest Airlines,MCI,"Kansas City, MO: Kansas City International",1599.00,306.00,132.42,1.76,42.95,1.60,127.27,8.00,1.00,12578.00,5298.00,64.00,1372.00,41.00,5803.00
2022,11,YV,Mesa Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",98.00,13.00,6.00,2.00,3.00,0.00,2.00,0.00,0.00,796.00,430.00,78.00,149.00,0.00,139.00
2022,11,YX,Republic Airline,MCI,"Kansas City, MO: Kansas City International",204.00,36.00,12.35,1.12,8.31,0.00,14.22,5.00,0.00,1526.00,380.00,169.00,222.00,0.00,755.00
2022,10,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",136.00,23.00,10.20,0.00,2.10,0.00,10.69,5.00,0.00,1411.00,420.00,0.00,142.00,0.00,849.00
2022,10,AA,American Airlines Network,MCI,"Kansas City, MO: Kansas City International",537.00,124.00,47.05,3.12,11.66,0.31,61.87,4.00,0.00,8969.00,4007.00,203.00,428.00,6.00,4325.00
2022,10,AS,Alaska Airlines Network,MCI,"Kansas City, MO: Kansas City International",46.00,5.00,3.00,0.00,0.93,0.00,1.07,0.00,0.00,196.00,130.00,0.00,25.00,0.00,41.00
2022,10,B6,JetBlue Airways,MCI,"Kansas City, MO: Kansas City International",62.00,9.00,7.50,0.00,1.12,0.00,0.38,0.00,0.00,594.00,535.00,0.00,39.00,0.00,20.00
2022,10,DL,Delta Air Lines Network,MCI,"Kansas City, MO: Kansas City International",542.00,56.00,33.98,1.00,9.42,0.00,11.60,1.00,0.00,3611.00,2351.00,187.00,212.00,0.00,861.00
2022,10,F9,Frontier Airlines,MCI,"Kansas City, MO: Kansas City International",55.00,20.00,4.64,0.00,9.64,0.00,5.72,0.00,0.00,1069.00,207.00,0.00,431.00,0.00,431.00
2022,10,MQ,Envoy Air,MCI,"Kansas City, MO: Kansas City International",64.00,9.00,2.25,0.00,1.12,0.00,5.63,0.00,0.00,765.00,172.00,0.00,210.00,0.00,383.00
2022,10,NK,Spirit Airlines,MCI,"Kansas City, MO: Kansas City International",150.00,34.00,14.37,0.00,14.18,1.00,4.45,2.00,1.00,1155.00,432.00,0.00,544.00,31.00,148.00
2022,10,OH,PSA Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",60.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,2.00,55.00,55.00,0.00,0.00,0.00,0.00
2022,10,OO,SkyWest Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",158.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,1.00,604.00,604.00,0.00,0.00,0.00,0.00
2022,10,UA,United Air Lines Network,MCI,"Kansas City, MO: Kansas City International",327.00,44.00,15.43,0.00,7.01,0.00,21.56,0.00,0.00,3021.00,1279.00,0.00,319.00,0.00,1423.00
2022,10,WN,Southwest Airlines,MCI,"Kansas City, MO: Kansas City International",1658.00,316.00,139.75,1.24,33.61,2.00,139.40,18.00,1.00,12180.00,4820.00,30.00,898.00,105.00,6327.00
2022,10,YV,Mesa Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",65.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,172.00,172.00,0.00,0.00,0.00,0.00
2022,10,YX,Republic Airline,MCI,"Kansas City, MO: Kansas City International",140.00,23.00,4.86,0.00,8.36,0.00,9.78,0.00,0.00,1213.00,271.00,0.00,304.00,0.00,638.00
2022,10,ZW,Air Wisconsin Airlines Corp,MCI,"Kansas City, MO: Kansas City International",1.00,1.00,0.12,0.00,0.00,0.00,0.88,0.00,0.00,26.00,3.00,0.00,0.00,0.00,23.00
2022,9,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",111.00,24.00,5.69,0.95,7.89,0.00,9.47,1.00,0.00,1886.00,458.00,59.00,447.00,0.00,922.00
2022,9,AA,American Airlines Network,MCI,"Kansas City, MO: Kansas City International",483.00,102.00,40.85,4.28,12.93,0.00,43.94,4.00,0.00,5559.00,2400.00,135.00,503.00,0.00,2521.00
2022,9,AS,Alaska Airlines Network,MCI,"Kansas City, MO: Kansas City International",57.00,11.00,3.82,0.00,6.18,0.00,1.00,0.00,0.00,478.00,274.00,0.00,163.00,0.00,41.00
2022,9,B6,JetBlue Airways,MCI,"Kansas City, MO: Kansas City International",60.00,8.00,6.45,0.00,0.88,0.00,0.67,0.00,0.00,367.00,306.00,0.00,35.00,0.00,26.00
2022,9,DL,Delta Air Lines Network,MCI,"Kansas City, MO: Kansas City International",503.00,39.00,27.15,0.00,3.62,0.00,8.23,0.00,0.00,2070.00,1486.00,0.00,111.00,0.00,473.00
2022,9,F9,Frontier Airlines,MCI,"Kansas City, MO: Kansas City International",56.00,19.00,5.02,0.00,10.84,0.00,3.13,0.00,0.00,990.00,278.00,0.00,453.00,0.00,259.00
2022,9,G7,GoJet Airlines LLC d/b/a United Express,MCI,"Kansas City, MO: Kansas City International",6.00,1.00,0.02,0.00,0.00,0.00,0.98,0.00,0.00,170.00,3.00,0.00,0.00,0.00,167.00
2022,9,MQ,Envoy Air,MCI,"Kansas City, MO: Kansas City International",85.00,11.00,2.69,0.76,4.18,0.00,3.37,1.00,0.00,432.00,76.00,38.00,143.00,0.00,175.00
2022,9,NK,Spirit Airlines,MCI,"Kansas City, MO: Kansas City International",114.00,24.00,5.86,0.47,13.24,0.00,4.43,5.00,0.00,1480.00,341.00,38.00,700.00,0.00,401.00
2022,9,OH,PSA Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",22.00,6.00,0.37,0.00,2.41,0.00,3.22,0.00,0.00,261.00,13.00,0.00,113.00,0.00,135.00
2022,9,OO,SkyWest Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",144.00,12.00,8.00,0.00,1.00,0.00,3.00,0.00,0.00,617.00,394.00,0.00,103.00,0.00,120.00
2022,9,UA,United Air Lines Network,MCI,"Kansas City, MO: Kansas City International",250.00,26.00,9.29,1.59,7.90,0.00,7.22,0.00,0.00,1046.00,280.00,153.00,236.00,0.00,377.00
2022,9,WN,Southwest Airlines,MCI,"Kansas City, MO: Kansas City International",1606.00,390.00,166.01,9.78,33.17,2.71,178.33,19.00,1.00,20005.00,7984.00,687.00,1187.00,63.00,10084.00
2022,9,YV,Mesa Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",92.00,16.00,9.00,1.00,1.00,0.00,5.00,0.00,0.00,2194.00,1669.00,38.00,15.00,0.00,472.00
2022,9,YX,Republic Airline,MCI,"Kansas City, MO: Kansas City International",242.00,40.00,11.65,1.15,16.93,0.00,10.27,0.00,0.00,2248.00,835.00,93.00,580.00,0.00,740.00
2022,8,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",31.00,5.00,1.79,0.00,2.99,0.00,0.22,1.00,0.00,518.00,154.00,0.00,331.00,0.00,33.00
2022,8,AA,American Airlines Network,MCI,"Kansas City, MO: Kansas City International",519.00,135.00,44.14,8.32,17.69,0.50,64.34,30.00,0.00,8682.00,2425.00,824.00,810.00,9.00,4614.00
2022,8,AS,Alaska Airlines Network,MCI,"Kansas City, MO: Kansas City International",62.00,6.00,1.95,0.00,1.18,0.00,2.88,0.00,0.00,196.00,117.00,0.00,19.00,0.00,60.00
2022,8,B6,JetBlue Airways,MCI,"Kansas City, MO: Kansas City International",62.00,13.00,9.03,1.00,2.04,0.00,0.92,0.00,0.00,1156.00,869.00,79.00,122.00,0.00,86.00
2022,8,DL,Delta Air Lines Network,MCI,"Kansas City, MO: Kansas City International",453.00,66.00,38.11,3.11,5.48,0.00,19.30,2.00,0.00,6028.00,4439.00,192.00,240.00,0.00,1157.00
2022,8,F9,Frontier Airlines,MCI,"Kansas City, MO: Kansas City International",55.00,18.00,4.62,0.98,3.75,0.00,8.65,0.00,0.00,1414.00,443.00,139.00,117.00,0.00,715.00
2022,8,G4,Allegiant Air,MCI,"Kansas City, MO: Kansas City International",11.00,2.00,0.45,0.00,0.57,0.00,0.98,0.00,0.00,191.00,64.00,0.00,79.00,0.00,48.00
2022,8,MQ,Envoy Air,MCI,"Kansas City, MO: Kansas City International",89.00,15.00,5.09,0.33,1.77,1.00,6.80,2.00,0.00,703.00,175.00,6.00,41.00,40.00,441.00
2022,8,NK,Spirit Airlines,MCI,"Kansas City, MO: Kansas City International",93.00,17.00,6.11,0.67,6.23,0.34,3.64,1.00,0.00,1047.00,344.00,102.00,246.00,28.00,327.00
2022,8,OH,PSA Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",35.00,6.00,3.13,0.00,1.00,0.11,1.75,0.00,0.00,583.00,351.00,0.00,26.00,10.00,196.00
2022,8,OO,SkyWest Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",122.00,19.00,11.00,2.00,0.00,1.00,5.00,2.00,0.00,1145.00,621.00,47.00,0.00,22.00,455.00
2022,8,UA,United Air Lines Network,MCI,"Kansas City, MO: Kansas City International",254.00,64.00,30.07,1.17,7.85,0.00,24.91,8.00,0.00,5600.00,2259.00,43.00,336.00,0.00,2962.00
2022,8,WN,Southwest Airlines,MCI,"Kansas City, MO: Kansas City International",1701.00,589.00,241.48,12.63,48.14,1.55,285.20,27.00,2.00,33777.00,11386.00,1099.00,2190.00,197.00,18905.00
2022,8,YV,Mesa Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",134.00,21.00,14.00,3.00,3.00,0.00,1.00,6.00,0.00,3538.00,3180.00,241.00,82.00,0.00,35.00
2022,8,YX,Republic Airline,MCI,"Kansas City, MO: Kansas City International",379.00,68.00,26.75,3.02,20.57,0.40,17.26,20.00,1.00,4505.00,1450.00,273.00,1195.00,81.00,1506.00
2022,7,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",36.00,6.00,1.58,0.00,2.35,0.00,2.07,2.00,0.00,1536.00,989.00,0.00,141.00,0.00,406.00
2022,7,AA,American Airlines Network,MCI,"Kansas City, MO: Kansas City International",433.00,155.00,56.35,4.27,15.72,0.00,78.67,9.00,0.00,11161.00,5300.00,403.00,642.00,0.00,4816.00
