year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2336.00,632.00,77.96,15.83,322.97,0.00,215.24,61.00,12.00,57420.00,12007.00,1602.00,24805.00,0.00,19006.00
2019,12,AA,American Airlines Network,LGA,"New York, NY: LaGuardia",1953.00,507.00,83.29,8.79,250.56,0.00,164.36,23.00,11.00,33027.00,4608.00,579.00,14798.00,0.00,13042.00
2019,12,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",470.00,162.00,41.22,1.69,67.11,0.56,51.42,7.00,1.00,17810.00,4113.00,251.00,5942.00,14.00,7490.00
2019,12,C5,"Commutair Aka Champlain Enterprises, Inc.",LGA,"New York, NY: LaGuardia",2.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,85.00,33.00,0.00,52.00,0.00,0.00
2019,12,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2499.00,616.00,102.23,11.22,343.55,0.00,158.99,1.00,7.00,42413.00,7071.00,1556.00,19801.00,0.00,13985.00
2019,12,EV,ExpressJet Airlines LLC,LGA,"New York, NY: LaGuardia",160.00,39.00,5.56,0.00,20.74,0.00,12.71,7.00,1.00,3461.00,606.00,0.00,1954.00,0.00,901.00
2019,12,F9,Frontier Airlines,LGA,"New York, NY: LaGuardia",93.00,34.00,10.12,0.00,18.19,0.00,5.69,2.00,0.00,2677.00,577.00,0.00,1528.00,0.00,572.00
2019,12,MQ,Envoy Air,LGA,"New York, NY: LaGuardia",640.00,196.00,23.89,7.73,104.24,0.00,60.14,17.00,7.00,15601.00,2283.00,477.00,8020.00,0.00,4821.00
2019,12,NK,Spirit Airlines,LGA,"New York, NY: LaGuardia",341.00,81.00,12.48,3.16,55.46,0.10,9.81,4.00,4.00,6623.00,1078.00,751.00,3641.00,5.00,1148.00
2019,12,OH,PSA Airlines Inc.,LGA,"New York, NY: LaGuardia",174.00,62.00,15.36,1.00,22.57,0.00,23.07,8.00,2.00,5533.00,1269.00,109.00,1553.00,0.00,2602.00
2019,12,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",315.00,93.00,9.97,9.41,42.87,0.61,30.13,5.00,0.00,8679.00,1412.00,939.00,3043.00,11.00,3274.00
2019,12,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",664.00,186.00,25.59,1.60,106.08,0.00,52.73,0.00,2.00,12417.00,1513.00,117.00,6583.00,0.00,4204.00
2019,12,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",1118.00,393.00,110.86,3.88,167.61,0.00,110.66,17.00,5.00,23137.00,6486.00,384.00,10029.00,0.00,6238.00
2019,12,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",114.00,37.00,16.00,0.00,11.00,0.00,10.00,2.00,0.00,3780.00,1639.00,0.00,1168.00,0.00,973.00
2019,12,YX,Republic Airline,LGA,"New York, NY: LaGuardia",2820.00,732.00,116.83,13.95,393.42,0.05,207.75,57.00,5.00,54874.00,8804.00,1230.00,25024.00,3.00,19813.00
2019,12,ZW,Air Wisconsin Airlines Corp,LGA,"New York, NY: LaGuardia",12.00,5.00,0.00,0.00,4.46,0.00,0.54,1.00,0.00,345.00,0.00,0.00,308.00,0.00,37.00
2019,11,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2386.00,426.00,60.97,2.85,218.43,0.00,143.75,0.00,2.00,31295.00,8948.00,150.00,10935.00,0.00,11262.00
2019,11,AA,American Airlines Network,LGA,"New York, NY: LaGuardia",1902.00,252.00,62.78,3.16,107.15,0.00,78.91,20.00,2.00,15889.00,4294.00,207.00,5484.00,0.00,5904.00
2019,11,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",443.00,97.00,32.87,0.00,41.90,0.00,22.23,0.00,0.00,5511.00,2467.00,0.00,1838.00,0.00,1206.00
2019,11,C5,"Commutair Aka Champlain Enterprises, Inc.",LGA,"New York, NY: LaGuardia",18.00,7.00,1.26,0.00,2.56,0.00,3.18,2.00,0.00,400.00,74.00,0.00,139.00,0.00,187.00
2019,11,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2278.00,333.00,83.64,7.98,166.89,0.00,74.48,5.00,6.00,22622.00,8102.00,2162.00,8132.00,0.00,4226.00
2019,11,EV,ExpressJet Airlines LLC,LGA,"New York, NY: LaGuardia",184.00,34.00,9.93,0.93,16.82,0.00,6.32,4.00,1.00,1766.00,498.00,126.00,861.00,0.00,281.00
2019,11,F9,Frontier Airlines,LGA,"New York, NY: LaGuardia",90.00,22.00,5.39,0.00,9.57,0.00,7.04,1.00,0.00,1153.00,315.00,0.00,416.00,0.00,422.00
2019,11,MQ,Envoy Air,LGA,"New York, NY: LaGuardia",679.00,143.00,23.63,0.73,71.80,0.00,46.83,2.00,1.00,10816.00,2882.00,36.00,3874.00,1.00,4023.00
2019,11,NK,Spirit Airlines,LGA,"New York, NY: LaGuardia",330.00,56.00,7.32,1.02,42.37,0.13,5.16,2.00,0.00,3522.00,361.00,73.00,2466.00,15.00,607.00
2019,11,OH,PSA Airlines Inc.,LGA,"New York, NY: LaGuardia",170.00,33.00,13.73,0.84,9.13,0.00,9.31,2.00,1.00,2037.00,712.00,44.00,463.00,0.00,818.00
2019,11,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",689.00,114.00,26.77,4.91,49.53,0.00,32.79,3.00,2.00,11814.00,5174.00,502.00,2618.00,0.00,3520.00
2019,11,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",651.00,135.00,23.18,2.73,69.59,0.00,39.51,6.00,3.00,8897.00,2055.00,136.00,3652.00,0.00,3054.00
2019,11,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",1051.00,216.00,73.58,2.80,85.38,1.81,52.42,8.00,1.00,8954.00,3352.00,93.00,2906.00,85.00,2518.00
2019,11,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",153.00,21.00,7.00,0.00,12.00,0.00,2.00,0.00,0.00,1079.00,459.00,0.00,582.00,0.00,38.00
2019,11,YX,Republic Airline,LGA,"New York, NY: LaGuardia",2547.00,371.00,63.51,6.01,215.82,0.00,85.66,8.00,1.00,21891.00,4369.00,397.00,10879.00,0.00,6246.00
2019,11,ZW,Air Wisconsin Airlines Corp,LGA,"New York, NY: LaGuardia",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019,10,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2523.00,816.00,66.77,8.93,530.32,0.00,209.98,26.00,2.00,60365.00,8517.00,883.00,32893.00,0.00,18072.00
2019,10,AA,American Airlines Network,LGA,"New York, NY: LaGuardia",2281.00,568.00,105.78,5.21,312.72,0.00,144.28,41.00,5.00,32855.00,6247.00,266.00,17007.00,0.00,9335.00
2019,10,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",493.00,151.00,16.05,1.00,115.80,0.00,18.15,1.00,0.00,10906.00,1420.00,63.00,7869.00,0.00,1554.00
2019,10,C5,"Commutair Aka Champlain Enterprises, Inc.",LGA,"New York, NY: LaGuardia",32.00,22.00,1.10,0.71,18.29,0.00,1.91,0.00,0.00,1967.00,218.00,200.00,881.00,0.00,668.00
2019,10,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2431.00,705.00,79.73,10.55,496.08,2.00,116.64,0.00,12.00,45022.00,8232.00,1771.00,27656.00,62.00,7301.00
2019,10,EV,ExpressJet Airlines LLC,LGA,"New York, NY: LaGuardia",167.00,54.00,4.52,0.00,42.00,0.00,7.48,2.00,0.00,3454.00,343.00,0.00,2652.00,0.00,459.00
2019,10,F9,Frontier Airlines,LGA,"New York, NY: LaGuardia",93.00,31.00,4.24,1.79,16.74,0.00,8.23,2.00,0.00,1891.00,325.00,93.00,950.00,0.00,523.00
2019,10,MQ,Envoy Air,LGA,"New York, NY: LaGuardia",741.00,224.00,27.02,0.74,141.44,1.74,53.06,20.00,1.00,18179.00,4337.00,91.00,9599.00,156.00,3996.00
2019,10,NK,Spirit Airlines,LGA,"New York, NY: LaGuardia",341.00,86.00,9.30,0.00,74.01,0.00,2.69,3.00,1.00,5631.00,507.00,0.00,4912.00,0.00,212.00
2019,10,OH,PSA Airlines Inc.,LGA,"New York, NY: LaGuardia",186.00,52.00,6.59,1.00,24.64,0.00,19.78,12.00,0.00,4074.00,610.00,29.00,1718.00,0.00,1717.00
2019,10,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",924.00,262.00,25.82,17.32,146.51,0.00,72.34,6.00,0.00,19110.00,3790.00,1163.00,8439.00,0.00,5718.00
2019,10,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",780.00,258.00,19.95,1.68,177.86,0.00,58.51,7.00,2.00,16324.00,1010.00,73.00,10920.00,0.00,4321.00
2019,10,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",1053.00,352.00,76.70,8.11,193.75,0.00,73.44,15.00,2.00,19198.00,4352.00,446.00,10237.00,0.00,4163.00
2019,10,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",154.00,57.00,19.00,2.00,31.00,0.00,5.00,2.00,0.00,4694.00,1784.00,121.00,2045.00,0.00,744.00
2019,10,YX,Republic Airline,LGA,"New York, NY: LaGuardia",2532.00,712.00,64.78,5.58,513.67,0.13,127.84,20.00,3.00,49708.00,6375.00,827.00,32310.00,7.00,10189.00
2019,10,ZW,Air Wisconsin Airlines Corp,LGA,"New York, NY: LaGuardia",12.00,3.00,0.02,0.00,2.00,0.00,0.98,0.00,0.00,239.00,4.00,0.00,67.00,0.00,168.00
2019,9,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2011.00,461.00,47.30,9.28,293.75,0.00,110.67,22.00,3.00,31514.00,4959.00,1529.00,16591.00,0.00,8435.00
2019,9,AA,American Airlines Network,LGA,"New York, NY: LaGuardia",2173.00,506.00,114.45,6.62,280.33,0.98,103.61,34.00,8.00,25462.00,5554.00,552.00,11972.00,51.00,7333.00
2019,9,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",489.00,119.00,29.04,0.00,73.27,0.00,16.69,21.00,3.00,6224.00,1834.00,0.00,3528.00,0.00,862.00
2019,9,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2325.00,492.00,66.16,9.12,313.53,0.00,103.19,29.00,12.00,27214.00,5436.00,1994.00,12755.00,0.00,7029.00
2019,9,EV,ExpressJet Airlines LLC,LGA,"New York, NY: LaGuardia",137.00,40.00,6.54,0.00,25.53,0.00,7.93,1.00,0.00,2428.00,569.00,0.00,1411.00,0.00,448.00
2019,9,F9,Frontier Airlines,LGA,"New York, NY: LaGuardia",90.00,22.00,1.11,0.00,17.38,0.00,3.51,0.00,1.00,1123.00,25.00,0.00,954.00,0.00,144.00
2019,9,MQ,Envoy Air,LGA,"New York, NY: LaGuardia",737.00,184.00,13.71,1.50,125.73,0.00,43.05,20.00,2.00,13409.00,1232.00,119.00,7545.00,0.00,4513.00
2019,9,NK,Spirit Airlines,LGA,"New York, NY: LaGuardia",330.00,82.00,9.11,0.83,63.47,0.26,8.33,12.00,3.00,5252.00,1314.00,125.00,3400.00,9.00,404.00
2019,9,OH,PSA Airlines Inc.,LGA,"New York, NY: LaGuardia",182.00,53.00,10.60,1.00,24.61,0.00,16.79,7.00,0.00,3410.00,594.00,49.00,1392.00,0.00,1375.00
2019,9,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",901.00,206.00,26.83,9.06,118.55,0.00,51.56,8.00,1.00,14124.00,3215.00,1063.00,6135.00,0.00,3711.00
2019,9,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",752.00,220.00,15.92,7.66,140.07,0.00,56.36,14.00,10.00,11892.00,909.00,566.00,6513.00,0.00,3904.00
2019,9,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",1018.00,247.00,44.01,4.30,151.83,0.00,46.86,13.00,2.00,11708.00,2496.00,695.00,6257.00,0.00,2260.00
2019,9,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",119.00,33.00,9.00,0.00,18.00,0.00,6.00,3.00,1.00,3233.00,1273.00,0.00,1366.00,0.00,594.00
2019,9,YX,Republic Airline,LGA,"New York, NY: LaGuardia",2817.00,619.00,70.89,14.05,428.70,0.00,105.36,16.00,5.00,38477.00,5286.00,1851.00,22115.00,0.00,9225.00
2019,9,ZW,Air Wisconsin Airlines Corp,LGA,"New York, NY: LaGuardia",26.00,10.00,0.40,0.00,9.60,0.00,0.00,2.00,0.00,558.00,23.00,0.00,535.00,0.00,0.00
2019,8,DL,Delta Air Lines Network,LGA,"New York, NY: LaGuardia",2710.00,781.00,104.53,24.42,468.18,0.00,183.87,42.00,41.00,69316.00,13402.00,1726.00,39185.00,0.00,15003.00
2019,8,EV,ExpressJet Airlines LLC,LGA,"New York, NY: LaGuardia",140.00,32.00,5.16,1.00,13.09,0.00,12.75,12.00,2.00,4014.00,632.00,29.00,2094.00,0.00,1259.00
2019,8,F9,Frontier Airlines,LGA,"New York, NY: LaGuardia",93.00,34.00,6.74,0.00,20.53,0.00,6.73,2.00,3.00,2086.00,251.00,0.00,1316.00,0.00,519.00
2019,8,MQ,Envoy Air,LGA,"New York, NY: LaGuardia",982.00,222.00,41.54,4.83,104.00,0.00,71.64,85.00,2.00,18574.00,4889.00,347.00,6977.00,0.00,6361.00
2019,8,NK,Spirit Airlines,LGA,"New York, NY: LaGuardia",341.00,108.00,9.80,2.51,85.81,0.00,9.88,10.00,3.00,12827.00,1260.00,164.00,10202.00,0.00,1201.00
2019,8,OH,PSA Airlines Inc.,LGA,"New York, NY: LaGuardia",187.00,40.00,8.57,0.26,17.31,0.00,13.86,22.00,0.00,2763.00,471.00,139.00,656.00,0.00,1497.00
2019,8,OO,SkyWest Airlines Inc.,LGA,"New York, NY: LaGuardia",1176.00,285.00,36.09,29.27,119.89,0.00,99.75,91.00,9.00,28669.00,5155.00,7575.00,7597.00,0.00,8342.00
2019,8,UA,United Air Lines Network,LGA,"New York, NY: LaGuardia",752.00,237.00,21.77,7.52,163.46,0.00,44.25,21.00,14.00,19042.00,1230.00,762.00,13175.00,0.00,3875.00
2019,8,WN,Southwest Airlines,LGA,"New York, NY: LaGuardia",1045.00,311.00,73.29,6.99,166.34,0.00,64.39,50.00,18.00,19689.00,4262.00,923.00,10695.00,0.00,3809.00
2019,8,YV,Mesa Airlines Inc.,LGA,"New York, NY: LaGuardia",117.00,29.00,12.00,1.00,11.00,1.00,4.00,11.00,0.00,2576.00,973.00,178.00,1071.00,75.00,279.00
2019,8,YX,Republic Airline,LGA,"New York, NY: LaGuardia",2939.00,729.00,97.51,19.97,413.38,0.00,198.14,160.00,26.00,58371.00,11402.00,1386.00,28326.00,0.00,17257.00
2019,8,ZW,Air Wisconsin Airlines Corp,LGA,"New York, NY: LaGuardia",25.00,11.00,0.16,0.00,6.55,0.00,4.29,0.00,0.00,839.00,27.00,0.00,350.00,0.00,462.00
2019,8,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2005.00,515.00,63.58,16.71,264.76,0.00,169.95,134.00,13.00,50920.00,10546.00,2519.00,24700.00,0.00,13155.00
2019,8,AA,American Airlines Network,LGA,"New York, NY: LaGuardia",2248.00,601.00,117.78,24.16,281.20,1.15,176.72,120.00,22.00,44676.00,7826.00,2070.00,20317.00,19.00,14444.00
2019,8,B6,JetBlue Airways,LGA,"New York, NY: LaGuardia",534.00,197.00,44.25,10.42,95.84,0.73,45.75,10.00,9.00,20191.00,4246.00,830.00,9774.00,22.00,5319.00
2019,7,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",1876.00,456.00,68.51,14.52,202.71,0.00,170.26,136.00,9.00,52072.00,7413.00,6533.00,24562.00,0.00,13564.00
